0,1,2,Final_Marks
1.1763345,-8.578451,12.039516,5
1.001014,-7.3344584,12.980816,6
0.7792033,-7.4408445,12.9076185,8
0.62742275,-6.2960987,14.16087,5
0.95460016,-8.794751,12.282275,6
1.0026183,-8.512518,12.113468,6
0.5623371,-6.878002,13.577493,6
2.5606604,-7.595273,13.141358,5
1.5672022,-8.624032,12.216543,5
1.142794,-8.081726,12.793654,5
1.4884195,-8.368271,12.822168,5
0.768291,-7.7706556,13.223328,6
1.5172253,-8.359134,12.004225,6
1.3282804,-7.2884283,13.458343,6
1.2497147,-7.2573934,12.93028,6
0.61075747,-6.4994545,14.098841,4
1.0876546,-7.9595313,11.110616,6
1.1097217,-8.236957,12.017018,6
0.44421813,-6.7398906,13.751289,6
0.9885646,-8.457865,13.461831,6
1.5876055,-7.844094,12.958968,5
1.005193,-7.488154,12.311021,5
0.882318,-7.3067346,12.925979,6
1.387605,-8.810175,12.536776,7
1.5834407,-7.7303104,12.460919,5
0.8213592,-7.8113346,12.470727,5
0.09064423,-6.804762,13.476787,6
0.8199269,-8.3509865,11.923729,6
1.682559,-8.200473,12.087005,6
1.0238343,-7.262295,12.821943,7
0.49555326,-6.7931128,14.175261,5
0.9793034,-8.401884,12.616982,5
-0.5259213,-7.523916,12.506446,4
0.6446788,-7.3621125,14.455431,7
1.38053,-7.681143,12.124336,5
0.8439519,-7.967221,12.448997,5
8.860436,-3.5101366,-4.6728625,7
9.662875,-3.3604178,-8.038044,6
9.136153,-3.0935636,-6.785158,6
8.774068,-3.0778162,-7.0116663,8
9.720977,-3.2280552,-6.620448,6
9.346716,-3.574817,-6.9938188,6
8.974464,-3.342303,-6.6026864,7
8.881333,-3.0684614,-6.2822475,8
9.038335,-3.240634,-6.7101974,6
8.826594,-4.0189023,-4.7009287,6
8.506106,-3.6488545,-4.5168605,5
9.276907,-3.5298061,-5.923942,6
8.290098,-2.8439865,-6.6631546,6
8.87749,-3.7554457,-4.712714,9
8.897303,-2.9229584,-7.276494,8
8.867224,-3.7485402,-4.6614575,7
8.627624,-3.3107393,-7.5564156,6
8.843927,-3.73797,-4.690524,8
8.147136,-3.86671,-6.6688366,9
9.302513,-3.840255,-7.633028,6
8.65933,-3.7853498,-4.547419,5
8.179522,-3.898074,-6.6356864,7
8.885301,-2.498543,-8.274422,6
9.026142,-3.4255033,-6.1118298,6
9.093109,-2.7505658,-6.6409564,6
9.000247,-3.4960368,-6.969277,6
9.325341,-3.8880413,-7.390661,6
9.645831,-2.3939598,-7.3258147,5
9.016635,-3.0387702,-7.2843447,6
9.718333,-3.4174838,-6.899904,6
8.877466,-3.7265687,-4.713973,9
9.262926,-2.909132,-7.3458757,6
9.226035,-3.6922388,-6.5184965,5
8.7937975,-3.8233736,-4.660278,8
8.946173,-3.0258856,-6.339191,6
8.915666,-3.5432851,-6.715216,6
9.558914,-2.9298184,-6.4591913,6
8.79673,-3.0332508,-6.6887555,9
8.87216,-4.0726194,-5.9479613,5
9.365788,-3.4845436,-5.932957,6
3.14151,15.718946,-0.2704383,6
2.9037285,16.107084,-0.35816684,7
3.883225,14.938261,0.731044,4
3.4195452,15.668253,0.16787668,6
4.780531,15.08606,-0.35907984,8
3.3190584,15.647886,0.10697752,7
3.645675,14.876442,-0.16038722,6
3.6573122,14.833183,-0.35544595,7
3.7117338,15.5792265,0.114639886,10
3.8146198,14.934787,-0.10496703,7
2.9510777,15.574453,0.4499356,3
4.611524,16.027014,0.76800966,6
3.7683747,14.83161,-0.17299955,5
4.129993,16.169802,0.20247436,7
4.5103407,16.04872,0.11019402,10
3.3442101,16.432852,0.30134806,7
4.5361185,16.128292,0.040236667,5
