0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,Final_Marks
1.627642843,1.242545826,-4.081492022,2.544616922,-4.25689227,-5.255650322,18.61213635,-10.6440757,6.629651451,-2.139521979,5.714590742,-1.5086774,10.04842222,-4.361278224,9.469318777,-5.438774744,-6.52426627,0.323662929,1.65216653,3.338090707,-0.437566704,-3.726055668,-0.384831199,-0.279056359,-0.866884385,0.086447214,-3.806444853,0.317513642,-0.494560409,0.980383456,0.201036859,-1.064086301,6
0.131097364,2.090045289,-3.712785067,3.179571965,-4.335221359,-4.326459582,20.05763893,-10.62092806,7.654129564,-2.043655469,5.519958573,-1.805298375,11.33779891,-4.102088954,10.90832157,-5.908492539,-6.678635521,1.41284778,2.092452263,5.156903802,-0.318822981,-4.50108282,-0.073736948,-0.261295892,-0.783611747,1.091914203,-4.055844926,0.460342009,0.040625977,1.962984914,0.440172532,-1.234093598,5
-0.10049549,1.800433937,-3.303673371,3.113099308,-3.981675522,-4.710141229,20.65703949,-10.62286064,7.73274545,-2.06543943,5.554086218,-2.134239031,11.71763268,-4.002432624,11.42272713,-5.821463952,-6.971242382,1.744817113,1.808339663,6.200123589,-0.087976078,-4.656169216,0.303989778,-0.42335178,-1.261508496,1.638073437,-4.365334784,0.248481295,-0.177979556,1.590453053,-0.2347618,-1.923678458,7
3.326030653,1.204057805,-5.935668239,3.132563511,-5.266478263,-7.94765573,21.00412986,-10.9684866,7.189901903,-0.956607017,4.960512312,-1.003608781,9.751652993,-3.591379949,9.570451829,-5.406647912,-7.512317954,1.548029786,3.397139771,6.424652984,-2.249684217,-2.942409598,-0.402496093,-0.918628623,-3.136289561,-0.2031035,-4.999032594,0.669821937,1.396299384,0.648289203,0.427049401,-0.732923678,6
1.601727881,1.614711974,-4.577729507,2.415385661,-4.075362001,-5.381597513,17.84675348,-10.95312731,6.553156379,-1.622181653,5.700238149,-1.100991208,9.751252115,-4.121531283,8.967717242,-5.980789061,-6.337899222,0.69048822,1.484613656,3.090971706,-0.035501411,-3.952110564,-0.940941071,0.037149791,-0.682663641,-0.29892574,-3.767174434,-0.051984957,-0.514791858,0.047530298,0.707816367,-0.183174967,5
1.19813873,1.209561165,-4.57440366,2.224726847,-4.086577105,-5.369400267,19.64858564,-11.19793839,6.756098799,-1.793970653,5.326382662,-1.676429271,10.84047237,-4.202472606,10.26014541,-5.812981861,-7.019349759,1.142951151,1.318059997,4.407316696,-0.528884124,-4.087924662,-0.59418318,-0.40015753,-1.330617052,0.784279988,-4.228491637,0.434625687,-0.320485566,1.369521029,0.590111764,-0.971572455,5
4.426008199,0.957715559,-6.067618154,2.246489135,-5.166704233,-8.209228337,18.4877033,-11.03818248,5.092631845,-1.004008406,5.29029929,-0.630593983,8.150447961,-3.225985373,7.665661714,-5.255687187,-7.151495012,0.795677434,2.731964171,4.470690647,-2.377695019,-2.087447386,-1.213977157,-1.15324428,-2.668481341,-1.237905368,-4.584391885,0.350112,1.240661243,-0.804128718,0.308078364,0.60776498,4
2.36428464,1.066005778,-4.986911408,2.229310458,-4.022024791,-5.99460905,18.06599192,-11.292314,5.711361556,-1.923443828,5.625634673,-1.277047861,9.495760695,-3.951048764,8.87056798,-5.726426089,-6.88498881,0.849494465,1.085284799,3.186916763,-1.098310099,-3.346155262,-1.025154397,-0.691008423,-1.162987723,-0.307529544,-3.826664975,0.395477516,-0.028837609,0.112636547,0.426637454,-0.165898994,5
1.164839316,2.292128857,-4.265622863,2.700026118,-4.299580964,-4.864014761,18.04213221,-11.03023506,6.899284338,-0.961245175,5.302297405,-1.24969574,9.617546632,-3.92637056,9.634370312,-6.107220161,-6.33573173,0.979793864,1.789923288,3.582297139,0.506528609,-4.515137542,-0.905650079,0.34722367,-0.129670941,-0.084600504,-3.868429857,-0.397371196,-1.040891821,0.872184118,0.893602113,0.50490113,4
2.210154989,1.130595525,-4.986144997,2.476651763,-4.031273885,-5.887450676,18.60462457,-11.2557584,6.231090156,-1.833727259,5.604098074,-1.52861744,9.817735884,-4.106296292,9.302299879,-5.614843257,-6.870596581,0.895100464,1.202214924,3.533139607,-0.929182258,-3.523853068,-0.731698901,-0.672710328,-1.191517889,-0.147759794,-3.968789829,0.492711945,0.04102425,0.266435802,0.413958503,-0.369194669,9
