0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,Final_Marks
-5.759350608,3.557811876,1.964139262,-2.764569797,-1.958127991,2.061338771,9.640986369,2.959408335,-8.734762314,-0.282185137,-3.814481429,-4.919579594,-1.728658391,-6.225381455,1.180592431,0.526008013,8.747613016,-1.327103111,6.864646624,4.754459968,1.724748519,0.171272441,-4.316042399,1.576626746,-3.423447349,-1.349746676,-4.228785848,3.063508594,0.522814334,-0.527914779,1.245902567,1.300118159,1.484502571,-0.723814009,-1.636044972,6
-6.759919143,2.800407056,0.888119795,-4.225479939,-1.415648963,2.528250386,8.367809197,2.220723495,-7.955102938,-0.908370833,-3.784668346,-4.337881137,-0.950831855,-5.636851487,0.960203588,0.696441352,7.864347897,-1.285197975,6.072331907,3.21978406,1.605306191,-0.625082302,-4.075018201,1.517880082,-3.018900272,-0.991228404,-3.448199218,2.601149093,0.177996299,0.294101909,1.058156423,1.384808436,0.765461363,-0.337201277,-1.04541973,5
-6.519008337,2.797090287,1.598568319,-4.252072981,-1.614579434,2.305499796,9.147640384,2.427123496,-8.264284743,-1.361067885,-3.454438276,-4.729653988,-1.306008622,-6.064031825,1.065618329,0.613663944,8.256542051,-1.033852697,6.70331218,3.740040748,1.671242009,-0.551086155,-3.966171743,1.515705382,-3.379731352,-1.544467902,-4.019211281,3.086114927,0.893401183,-0.225646916,1.057448722,1.548467608,1.378133947,-0.499769871,-1.081969468,7
-8.543272283,0.955443701,0.494647501,-5.154262689,-2.443387031,1.567844418,9.297956972,1.944991909,-8.537601177,-1.780573579,-3.424626068,-3.905421373,-0.111841848,-5.41911359,1.388164313,1.011126379,7.39202017,-1.836675717,5.732782531,2.62670667,2.379402016,-0.518119317,-3.746200582,1.605520658,-3.610421295,-0.539256422,-3.094682382,3.26843881,0.815100725,1.026673425,0.74748256,2.195159061,0.201887176,-0.454265494,0.212852221,6
-5.253055337,4.510526823,1.763311851,-2.274571422,-1.946792726,1.867820538,9.89815105,3.452752126,-9.110181045,-0.182892692,-3.857283743,-4.821729636,-2.149801295,-6.53117017,0.844884666,0.708481284,9.326456508,-1.273516292,7.403225202,4.723145164,1.613420073,0.45685177,-4.375043405,1.732265319,-3.79578906,-1.181859386,-4.74888389,2.740957062,0.636573032,-0.290860957,1.798344027,0.869664455,1.321693711,-0.708658154,-1.638350382,5
-8.05650325,1.576324751,0.514976683,-6.17681028,-1.403238989,2.478103276,7.658038194,1.682938937,-7.95230784,-1.628427709,-3.820572129,-3.952815166,-0.205195601,-5.513550147,0.934600448,1.212594887,6.61197698,-1.091885848,5.865310685,2.035308437,1.039239524,-0.611950472,-3.606780321,1.071707434,-2.785218578,-1.134442745,-3.060227916,2.840864802,0.417291976,0.285266025,1.052200362,1.882379299,0.477802036,0.296658082,-0.383094088,5
-8.013698246,1.171212052,0.935287398,-4.537694293,-2.555733192,1.370215018,9.81183718,2.216628612,-8.801371454,-1.66556063,-3.241950635,-3.992156764,-0.567257128,-5.336261252,1.53181549,0.888060118,7.989045912,-2.013036771,6.173128207,3.10283837,2.702944514,-0.492163948,-3.748183459,1.868857681,-3.83941141,-0.451406121,-3.401160476,3.370956881,0.800110574,1.162375719,1.01683044,2.00292375,0.195739924,-0.883425766,0.214529385,4
-7.998441683,1.375280005,0.062059942,-5.958904376,-1.162334894,2.862584335,7.316025794,1.481476151,-7.724923196,-1.38448064,-3.76965059,-3.79533633,-0.210273751,-5.280808163,0.953937207,1.238439747,6.397862112,-0.978863287,5.582361637,1.593759694,1.113229787,-0.686243944,-3.701653138,0.954609068,-2.451357361,-0.834930768,-2.732443385,2.591480064,0.435188781,0.245914992,0.870465809,1.715335993,0.535958182,0.214186875,-0.521882286,5
-5.417937235,3.932327382,0.711097421,-2.516301604,-2.19609395,1.644178394,9.065270378,3.581377293,-8.668083549,-0.331180413,-4.003656792,-4.219689291,-1.949839083,-5.979153829,0.592727784,1.176914486,9.146522487,-1.060525257,7.506300799,4.1495457,1.270735051,0.865968436,-4.518680755,1.944444464,-3.485113099,-0.999193442,-4.367672669,2.825911976,0.323853507,0.266052484,1.576208491,0.723987254,1.051889255,0.296365055,-1.444058176,4
-8.074938726,1.448175543,0.149705155,-5.934360659,-1.324734502,2.745547283,7.414713596,1.619920923,-7.849973187,-1.467215175,-3.72154494,-3.869931684,-0.249346772,-5.530391092,0.95594014,1.192036165,6.368997069,-0.943095483,5.566263783,1.7377371,1.179367661,-0.659350306,-3.6736024,0.863489616,-2.563194258,-0.869253746,-2.883802649,2.792051312,0.61202812,0.131210903,0.894809507,1.748663996,0.566849558,0.15356691,-0.442618656,9
-7.253614752,2.071204561,0.990138188,-4.729756011,-1.464329853,2.354254412,8.707715517,1.9891502,-8.25727482,-1.239704165,-3.528463412,-4.185328509,-0.776458811,-5.833885959,1.211414115,1.037936922,7.440955908,-1.190554442,6.228661937,2.894761546,1.490323246,-0.397267171,-3.902019345,1.152800032,-3.165786025,-1.2937676,-3.339814186,2.91483173,0.916464519,0.246903301,0.730102935,1.555039892,0.776812667,-0.121662204,-0.795830594,6
-8.038079243,1.354256807,0.756108259,-4.854792538,-2.759618287,1.370409747,9.417539665,2.016088058,-8.793173539,-1.68326425,-3.261372558,-3.952686437,-0.411550487,-5.274210671,1.552580991,0.691568156,7.53307429,-2.189671041,5.92404837,2.922420659,2.476230765,-0.425184672,-3.789490791,1.805213383,-3.370798707,-0.467566807,-3.340046119,3.200031507,0.656510806,0.992633299,0.782815627,1.896366248,0.061989955,-0.680769944,0.192384517,7
-7.014565853,2.33086028,2.095051527,-3.075750108,-3.422528999,0.349075529,11.68826615,3.26447471,-9.656326436,-1.471968675,-3.090629868,-4.723168238,-1.257945184,-5.945952287,1.589766589,0.330033656,9.563012358,-2.43340146,7.281006783,5.333765239,3.547134801,-0.360749466,-4.34589534,2.325655799,-4.667450151,-1.132216556,-4.557337808,3.756210155,0.877527595,0.959182721,1.362090444,1.805754875,0.695514266,-1.246912254,-0.373448379,5
