0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,Final_Marks
-2.180080332,-3.744489991,-5.017564408,10.17725878,-15.67762967,-22.07850745,8.229582382,-6.261650401,-4.521482794,-4.039057537,6.572302342,-10.46034281,-1.822125807,1.975581774,-0.562186619,3.485977242,0.561199694,4.190029918,-4.185283265,8.857168328,-0.15806491,-0.762398808,0.100498158,1.586501628,-1.732891022,-1.967103152,-2.03632625,-1.465552162,-0.815583247,1.038822035,-1.144464453,0.582275157,1.338044913,-0.919411862,1.110106433,-1.525938112,0.403803852,6
-3.45205097,-4.830741355,-4.417485318,10.34008419,-16.14541217,-22.22998794,9.846860594,-6.311032241,-5.191194014,-4.278479816,6.626386708,-11.06063032,-1.290505603,2.407589696,-0.913307612,2.95506865,0.340747605,4.795621007,-5.239912846,10.33562832,-0.561657382,-0.586187932,0.447039105,1.989934892,-1.56227949,-1.606994002,-1.946844584,-1.524410615,-1.465718743,0.363265021,-1.321929367,0.282785945,1.020699097,-1.425956116,1.332173395,-0.837913,-0.251465526,5
-1.894981561,-3.770665766,-5.008459603,10.373644,-15.93517378,-22.22414361,7.149032475,-5.725246787,-6.375088716,-2.901198974,8.212876764,-10.24814024,-1.692273245,1.829863721,-1.780892644,2.07974614,0.609151704,6.425966426,-5.315224545,8.71415797,-1.386010218,-1.289422256,-0.279571233,2.491561961,-1.10155072,-0.636961472,-3.527292995,-0.48616944,0.04514279,-2.764880579,0.105892334,1.893460564,2.02776943,-2.794243067,3.965543216,-1.870116519,-1.080804611,7
3.24809643,-2.693602018,-8.906822964,3.322982388,-15.89683234,-22.0189316,4.206357611,-7.185782496,-5.296412556,-2.623560694,5.520392881,-8.772212423,0.202031288,-2.151981976,0.856491085,1.683361187,-2.966009665,6.163762257,-0.035209911,5.973725172,-3.384639707,-2.037665604,-0.87422842,-0.207839483,-3.505825727,-3.550350517,-1.24583928,-1.242613602,1.798068083,-0.507405958,-1.150308653,-0.954138267,-1.261769106,-0.243053678,1.536830553,1.040033314,1.774526464,6
-3.282543026,-4.55854722,-4.600731782,10.57258409,-16.73591577,-22.03564604,8.333802302,-6.26618531,-4.680498438,-4.497745188,6.237049165,-11.16992089,-1.835497097,2.408542105,-0.336629711,3.158676098,0.824199126,3.726354555,-4.354486065,8.319895376,-0.085451065,-1.267384689,-0.803258366,1.073448358,-1.840560059,-2.399776228,-1.760021079,-2.144948944,-0.961234921,0.748654289,-1.940319236,0.017430978,1.684288437,-0.706238733,0.979568225,0.072782729,0.588739777,5
-2.015105998,-4.111490135,-6.109230502,9.642909669,-16.71850008,-21.75037934,8.684979204,-6.754843118,-5.795060697,-3.66101632,7.066604296,-11.30855166,-1.786764192,1.832743787,-0.775539569,3.063491019,0.262153258,5.087771418,-4.938004763,8.619054603,-0.900172542,-1.279858528,0.014654628,1.765028377,-1.446155324,-2.22449418,-2.292996812,-1.744538423,-1.658889511,0.935164126,-1.439427854,0.609228832,1.608057159,-0.567113375,-0.049094431,-0.600503065,-0.293880897,5
2.042763484,-2.315399947,-8.02462633,4.325528096,-16.86720563,-23.83516305,5.069914587,-7.085479896,-5.351047676,-2.832563441,5.541569899,-9.110784291,0.919768519,-2.170060522,0.633377199,1.819682375,-2.852738814,6.101643637,-0.708277993,8.428522165,-4.475476965,-1.953756421,-0.509470502,0.077348866,-3.742812371,-3.540258777,-1.054260252,-1.227385269,1.65947997,-0.863283733,-1.631038932,-0.819566665,-1.239338678,-0.714032536,2.701130274,0.880910806,2.118903198,4
-1.089957862,-4.188717136,-6.019519058,8.717693385,-16.42706352,-21.20366615,7.807984287,-6.666580989,-5.884193606,-3.434803548,7.189956082,-10.92058848,-1.691718201,1.419534011,-0.685376017,2.831334904,0.017256345,5.238188058,-4.085311428,7.257862216,-1.057879881,-1.576637815,-0.268629705,1.461284518,-2.084326455,-2.429351383,-1.862944641,-1.673382548,-0.910235842,0.657117847,-1.198607978,0.349807963,1.336643169,-0.469214486,-0.056871653,-0.53489086,0.091744107,5
-3.162181106,-5.23811777,-4.580126096,10.75260374,-15.00614127,-21.49849163,9.081232208,-5.77115134,-4.286157467,-4.10510183,5.535729824,-10.6796491,-1.849586743,2.708516658,0.037952924,2.55193353,1.063282659,4.334450443,-4.90977821,9.585441553,1.181743021,-1.003986113,-0.734000281,0.99367603,-0.281434138,-1.523097033,-1.973301964,-3.14903677,-1.37119964,1.735172849,-1.227902984,-0.032380323,1.199499081,-1.078029019,1.38370833,-0.20530016,-0.635849863,4
-1.376188971,-4.264189144,-6.029503889,8.937014172,-16.71468038,-21.72568621,8.249868195,-6.636057694,-5.780006431,-3.557039317,7.056007522,-10.98826577,-1.675677865,1.525869545,-0.811862345,2.846522014,-0.17157903,5.07893069,-4.344480826,7.855777274,-1.143133439,-1.366669524,-0.144709521,1.680126925,-2.013071379,-2.356302132,-1.976303503,-1.55389698,-1.028038613,0.620166167,-1.427722853,0.423484285,1.336074856,-0.495680638,0.360162953,-0.621318802,0.171852228,9
