0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,Final_Marks
-3.018512904,5.362811747,1.71233793,3.534016644,-3.023739601,-7.000310347,-2.785895989,3.169003586,2.034018235,3.735979515,1.405775856,0.929330299,8.06773525,2.973200033,-1.226451681,-5.588474761,7.694504638,-2.77862134,-1.351930133,7.189914151,-6.581961992,-6.331508849,0.712561711,-0.892142746,-1.239976909,-1.887655095,-2.602333317,6
-6.580915378,3.547884543,-0.81797067,-1.546124618,-1.322226566,-5.772295794,0.441211502,2.665750731,0.337605125,1.547391332,0.365642648,0.637313913,5.647032712,3.973693504,-0.834315944,-4.383430663,4.667633801,-1.603067196,-1.68568731,3.762051896,-3.548364487,-3.987970621,0.276585843,-0.275630018,-0.421980846,0.006491549,-0.874052723,5
-4.849300532,4.625227455,0.993366108,1.380092719,-2.629869588,-6.631258948,-1.536907921,2.786977882,1.32556894,2.905244492,0.977510142,1.026250903,6.918994053,3.617083157,-1.612617019,-4.830351653,6.528745037,-2.29878998,-1.665121122,5.776385602,-5.233835526,-5.549249062,0.834821481,-0.699120596,-1.302522621,-1.049155791,-1.967881292,7
-3.943912829,5.048628592,1.841731352,3.031758621,-3.521784378,-7.489038852,-2.635598986,2.716596714,2.122362243,3.741144237,0.920718949,0.934944068,7.911077488,3.034141993,-1.971611456,-5.381911981,7.480271468,-2.992237866,-1.582322219,7.403631117,-6.346924183,-6.391668876,0.830568358,-0.803760746,-1.993700301,-1.546800873,-3.009334676,6
-5.70266729,4.14457974,-0.164188204,-0.221211473,-1.718068749,-6.41936458,-0.567185941,2.723716622,0.859551784,2.498747144,0.412376074,0.593786147,6.530044011,3.566295517,-1.088403673,-5.033588279,5.406466356,-2.055639759,-1.651682795,4.592728374,-4.38882411,-4.8069597,0.14498286,-0.133295077,-0.492669481,-0.810748128,-1.261699106,5
-4.091354172,5.203419823,1.759934195,2.428840209,-3.297043579,-7.16081199,-2.44636988,2.896363714,2.006107646,3.687788961,1.25231959,1.21267155,7.710679298,3.365761753,-1.789279394,-5.056155923,7.16977219,-2.602209246,-1.447439796,6.718791789,-6.204013828,-6.24372949,1.051981156,-0.983815579,-1.799385565,-1.495103079,-2.586064491,5
-5.663616033,4.186620554,0.709174149,0.841775562,-2.552070391,-6.951525117,-1.489743207,2.685861991,1.22831014,2.829269294,0.400349893,0.776300282,6.843221844,3.466337012,-1.857067282,-4.95022083,6.154176883,-2.3599539,-1.828398003,5.762070674,-4.962427882,-5.349750911,0.700119842,-0.429108303,-1.532716028,-0.775741268,-2.132654466,4
-5.61950117,4.277423761,0.525684424,0.55986819,-2.27861241,-6.712883245,-1.29948106,2.699861872,1.24806751,2.851553398,0.728504261,0.898183092,6.709303582,3.65444499,-1.59145357,-4.876917582,6.158611017,-2.144516735,-1.752239644,5.295439216,-4.724877323,-5.242346469,0.584898862,-0.687517853,-1.186155161,-0.894839342,-1.786758671,5
-6.586185423,3.765318842,-1.061270958,-1.929775503,-1.223580131,-6.54070004,0.36367135,2.305643179,0.489133354,1.961623559,0.262167687,0.558476157,5.781560251,3.730660345,-0.803455949,-4.818388144,4.573546323,-1.65793264,-1.664627057,3.613777746,-3.294286963,-4.025066654,-0.405654415,0.158864725,-0.13362506,-0.254645819,-0.959717499,4
-5.702846705,4.373566829,0.677934802,0.610081399,-2.297159529,-6.882648088,-1.393520156,2.755710955,1.335837692,2.967647606,0.650402208,0.823025822,6.747067917,3.62993109,-1.789408572,-4.767547316,6.076757418,-2.292409,-1.688991709,5.367214179,-4.846273452,-5.291183894,0.605923409,-0.526233577,-1.346098077,-1.133476692,-1.888704005,9
-3.431646148,5.198713599,1.833464348,3.193775803,-3.370000987,-7.240577546,-2.713811417,3.007131881,2.093644192,3.774226303,1.285084609,1.006685289,7.924855237,3.31419818,-1.824583663,-5.324608052,7.506153402,-2.855805066,-1.490561274,7.228619998,-6.524430524,-6.383573246,1.020749451,-0.875186746,-1.753943603,-1.786024445,-2.610960308,6
-4.517749663,4.794902075,1.373501616,1.84148731,-2.924925199,-7.24198658,-2.230150918,2.438906415,1.786392958,3.420285551,0.674401324,0.936888981,7.238905635,2.966744823,-1.998380383,-5.039431364,7.026045271,-2.628427981,-1.627006628,6.375612624,-5.447160883,-5.705232841,0.968493629,-0.957659261,-1.710105233,-1.009404136,-2.36891455,7
-3.222472269,5.15044884,1.882249294,3.651116956,-3.766325538,-7.183705579,-3.061680007,2.783708832,2.333285688,3.832451268,1.130249247,0.886901747,8.143107039,2.986232483,-1.591223697,-5.715864161,8.012453068,-3.058155977,-1.62152476,7.880853031,-6.72126786,-6.457544185,0.983390082,-1.118895191,-1.745292218,-1.443630638,-3.130053844,5
-7.161769979,3.789858317,-0.970547002,-2.526880772,-1.345825093,-6.647092954,0.627619789,2.487662282,0.629337027,1.794610168,-0.005372706,0.531340722,5.775030817,3.808918666,-0.605609942,-4.609274049,4.38774635,-1.72590313,-1.688779594,3.533162006,-3.11473833,-4.053587908,-0.207045905,0.104849338,-0.279171852,0.037467863,-0.910295387,4
-4.246125283,4.85110662,1.306391753,1.921013217,-2.799828951,-6.784204052,-1.889018162,2.639218897,1.64247969,3.333211068,1.374521257,1.093595058,7.408803967,3.403936752,-1.381556242,-4.969081928,6.949041333,-2.491512921,-1.629058041,6.359212499,-5.81441228,-5.895596613,1.064370984,-0.810657397,-1.545057607,-1.095349616,-2.202301062,6
-7.838541865,3.481705705,-1.12595936,-3.063330424,-1.525174888,-7.024432048,0.759358185,2.065406397,0.872259462,1.680589241,-0.283463383,0.478211379,5.521933902,3.559387181,-0.735826388,-4.806202149,4.056252673,-1.7827482,-1.849444636,3.674175461,-2.663105215,-4.041272571,-0.191316495,0.253891022,-0.558258772,0.673655421,-0.903764562,3
-5.14536065,4.341431526,0.576449362,0.834133078,-2.476549423,-6.554852004,-1.110078359,2.501459208,1.306801949,2.711286943,0.911517524,0.76658633,6.660227755,3.608710317,-1.505709639,-5.060856739,6.237290588,-1.991091051,-1.656039048,5.624900886,-4.604779572,-5.350413807,0.458891189,-0.824793209,-0.900844057,-0.663499999,-1.706238139,6
-5.334442448,4.273159812,0.503542109,0.539397685,-2.232712645,-6.445673294,-1.214956187,2.578791039,1.076938367,2.801644223,0.722872394,0.698086312,6.58193262,3.609061905,-1.373381414,-4.729144202,6.138387544,-2.022834913,-1.761812446,5.268481126,-4.920339904,-5.141284692,0.680120351,-0.505896463,-1.142272627,-0.880438198,-1.779935108,8
-7.011574334,3.778195224,-1.407054504,-2.789520971,-1.174068497,-6.561310009,1.093780473,2.230279271,0.442783262,1.669123196,0.191319265,0.018370231,5.395438637,3.448351289,-0.338389392,-5.144271423,4.184933759,-1.560404841,-1.88222033,2.981855816,-2.8377336,-3.704711135,-0.647102059,0.362048619,-0.067126317,0.248589828,-0.460574791,4
-7.562480124,3.614558752,-1.805083522,-3.477553394,-0.836806683,-6.670541517,1.509380456,2.452063563,0.296953207,1.372393224,-0.02338387,0.048775552,5.208915131,3.633602422,-0.258030573,-4.888039913,3.661141505,-1.490970297,-1.777347036,2.524154273,-2.321720637,-3.247898767,-0.836805303,0.518448096,0.179096239,0.247942352,-0.203659124,4
-5.883384284,4.111702748,0.266173215,0.02886181,-2.100147443,-6.336709126,-0.769938447,2.689588912,0.985814427,2.40723965,0.562295552,0.794150002,6.380852738,3.707380895,-1.336725668,-4.376183801,5.679375636,-2.096681521,-1.704253997,4.898270457,-4.546869245,-4.904862878,0.762066624,-0.564153636,-1.139790762,-0.700866265,-1.630295848,7
-5.61634614,4.339316372,0.375902205,0.296260551,-2.209644354,-6.298987173,-0.83744451,2.680943979,0.962614974,2.761087314,0.441353388,0.693490053,6.457531664,3.634667992,-1.553658582,-4.384593672,5.643870374,-2.324635179,-1.746371984,5.044625745,-4.768856374,-5.035974924,0.703158855,-0.343873348,-1.150029075,-1.053019938,-1.913433761,7
-5.377536562,4.361137776,0.443437059,0.466123372,-2.248391083,-6.388697639,-0.970593469,2.680037377,1.11363837,2.665358489,0.895371875,0.984215215,6.568158955,3.702092462,-1.245356231,-4.574199983,6.012312029,-2.167494841,-1.623463721,5.190843984,-4.777790402,-5.197559126,0.893675938,-0.574551884,-1.13211411,-0.784491423,-1.807490454,5
-5.882879329,4.121553174,0.27352544,0.016819738,-2.139343093,-6.332685294,-0.833135875,2.692106887,1.026218196,2.517165715,0.52094021,0.800344934,6.447517109,3.702614086,-1.415229202,-4.373891262,5.729400787,-2.154461667,-1.694565941,4.965505992,-4.583037973,-4.97026174,0.77180031,-0.552480374,-1.155544372,-0.666022912,-1.693428289,6
-5.700552809,4.332063205,0.616309315,0.637152624,-2.259575755,-6.839695743,-1.385305953,2.790158189,1.361288975,2.901929211,0.725204328,0.84735853,6.766699878,3.626538579,-1.85773815,-4.841427006,6.058979178,-2.366741885,-1.543056602,5.472519219,-4.872755941,-5.339577319,0.617448913,-0.475351012,-1.320549438,-1.140767013,-1.923816898,8
-5.348010021,4.045101473,0.56969049,0.549714079,-2.31172938,-6.548878847,-1.322867149,2.763418421,1.190887612,2.824076447,0.677910989,0.788308908,6.655814731,3.65179494,-1.612934442,-4.882535114,6.26468652,-1.970038152,-1.711464278,5.300732478,-4.681782059,-5.19783563,0.656117193,-0.740079673,-1.169042254,-0.895067346,-1.911314612,6
-5.149175726,4.161472887,0.680710751,1.194433575,-2.422601628,-7.087642762,-1.653068302,2.536479045,1.299418846,2.917839532,0.481564973,0.402158162,6.789148409,3.206519423,-1.494259829,-5.315681628,6.365278494,-2.24378089,-1.630388264,6.58038176,-4.937466509,-5.490814653,0.477440416,-0.498134324,-1.159566974,-0.827654482,-2.457892635,4
-6.573837095,3.831726048,-0.18395348,-0.963965894,-1.668988285,-6.56502981,-0.435261349,2.506516269,0.960445834,2.313729849,0.400722297,0.585219141,6.102147981,3.766312727,-1.445096859,-4.644040504,5.140739833,-1.893353203,-1.791044415,4.480451516,-3.775957398,-4.61891716,0.236249252,-0.251367674,-0.903883689,-0.477158234,-1.222433236,8
-5.756540997,4.267109068,0.554478444,0.204426453,-2.034814604,-6.891245654,-1.177924537,2.762393766,1.41425238,2.772902126,0.699304827,0.717022081,6.622403619,3.651116469,-1.747600173,-5.076054577,5.794125399,-2.07333504,-1.54976287,5.467733727,-4.632458344,-5.142128824,0.401531846,-0.381408764,-1.134746556,-0.77401055,-1.75172137,5
-4.644045986,4.40381046,0.906257422,1.342445074,-2.641450167,-6.337417208,-1.484635261,2.838383934,1.270599335,2.82272209,1.040636307,0.981873102,6.86793301,3.626833059,-1.318801166,-4.763278202,6.677319146,-1.992943422,-1.626649995,5.693812792,-5.201773156,-5.426856423,0.903081162,-0.898414421,-1.122475952,-0.894659985,-2.003929223,6
-4.530969026,4.372737666,0.992519115,1.217938391,-2.533149112,-6.522838518,-2.005005486,2.573112132,1.708748379,2.967095193,1.007184799,0.829237899,6.952197894,3.549828704,-1.316334313,-5.015571764,6.433552509,-2.031471872,-1.635703031,5.979689275,-5.229982929,-5.355869644,0.743603701,-0.817924694,-1.208903967,-1.061708441,-2.066000045,6
-5.446788263,4.424220411,0.749019414,0.750996237,-2.4030444,-6.752847624,-1.365766469,2.697033616,1.236821876,2.862990243,0.700652349,0.778023776,6.738795994,3.57524255,-1.82137048,-4.74241928,6.123814577,-2.352052682,-1.72772153,5.471335875,-4.896162892,-5.373399427,0.667755239,-0.492809838,-1.405590061,-1.008700221,-1.920504547,6
-5.171608237,4.149806015,0.585326855,0.673094301,-2.361084351,-6.341306701,-1.275327795,2.69592878,1.115864725,2.775680355,0.735635682,0.683267713,6.638160324,3.574390458,-1.434450569,-4.760470485,6.281858566,-2.024422928,-1.769036617,5.272219076,-4.823563114,-5.174253544,0.695743618,-0.599225349,-1.062068723,-0.909708926,-1.870744472,6
-5.125806204,4.351758117,0.606901682,0.485720814,-2.292586759,-6.517601058,-1.183827948,2.533444211,1.100233797,2.868949876,0.609416583,0.719160949,6.478621625,3.47437382,-1.58303428,-4.533976969,6.150400482,-1.990518912,-1.60915106,5.032723929,-4.762919514,-4.98516466,0.848772157,-0.780874547,-1.172982178,-0.82846509,-1.64808534,7
-5.535647766,4.200491552,0.456326647,0.578804425,-2.206619982,-6.209386208,-0.946539058,2.765727545,0.889960148,2.539853274,0.632500777,0.768720845,6.560195302,3.683729463,-1.508674779,-4.313235548,5.90249002,-2.175175356,-1.652824321,5.096175188,-4.894296124,-5.090635009,0.801770473,-0.484848198,-1.117781972,-0.936660673,-1.833521902,8
-5.499024013,4.404312845,0.47677596,0.631115298,-2.207154691,-6.726800286,-1.356160984,2.780487242,1.360552135,2.874104884,0.798323242,0.866125667,6.670949674,3.558275746,-1.647567678,-4.977246476,6.156270559,-2.230361399,-1.786003754,5.365025149,-4.771751999,-5.189582855,0.47626482,-0.623265244,-1.085972865,-0.998902439,-1.744932068,6
-5.44237658,3.977194645,0.356466851,0.523675707,-2.101074061,-6.401194727,-1.155746583,2.374352888,1.465134185,2.521129294,0.817832801,0.786207548,6.347048999,3.643335659,-1.254121436,-5.183103578,6.047793698,-1.861248981,-1.757734083,5.362338064,-4.612544137,-5.149937359,0.573131268,-0.673606957,-0.836599256,-0.403610232,-1.66105498,3
